UBIGEO,tiene_dependencia_policial,dependencias_operativas,dependencias_no_operativas,pct_operativas
080505,1,1,0,100.0
080603,1,1,0,100.0
080605,1,1,0,100.0
080705,1,1,0,100.0
080708,1,1,0,100.0
080901,1,2,0,100.0
080902,1,3,0,100.0
080903,1,1,0,100.0
080904,1,2,0,100.0
080906,1,1,0,100.0
080908,1,1,0,100.0
080910,1,1,0,100.0
081002,1,1,0,100.0
081005,1,1,0,100.0
081009,1,1,0,100.0
081104,1,1,0,100.0
081105,1,1,0,100.0
081106,1,1,0,100.0
081203,1,1,0,100.0
081205,1,1,0,100.0
081207,1,1,0,100.0
081208,1,1,0,100.0
081209,1,1,0,100.0
081210,1,1,0,100.0
081212,1,1,0,100.0
081303,1,1,0,100.0
081305,1,1,0,100.0
090102,1,1,0,100.0
090103,1,1,0,100.0
090106,1,1,0,100.0
090108,1,1,0,100.0
090112,1,1,0,100.0
090117,1,1,0,100.0
090206,1,1,0,100.0
090304,1,1,0,100.0
090309,1,1,0,100.0
090402,1,1,0,100.0
090403,1,1,0,100.0
090405,1,1,0,100.0
090407,1,1,0,100.0
090412,1,1,0,100.0
090413,1,1,0,100.0
090507,1,1,0,100.0
090509,1,1,0,100.0
090603,1,1,0,100.0
090607,1,1,0,100.0
090613,1,1,0,100.0
090707,1,1,0,100.0
090711,1,1,0,100.0
090717,1,1,0,100.0
100101,1,0,1,0.0
100103,1,0,1,0.0
100105,1,0,1,0.0
100108,1,0,1,0.0
100111,1,0,1,0.0
100202,1,0,1,0.0
100507,1,0,3,0.0
100601,1,0,1,0.0
100705,1,0,1,0.0
101002,1,0,1,0.0
101005,1,0,1,0.0
101007,1,0,1,0.0
110103,1,1,0,100.0
110105,1,1,0,100.0
110107,1,1,0,100.0
110109,1,1,0,100.0
110303,1,1,0,100.0
110503,1,0,2,0.0
110504,1,0,1,0.0
120108,1,0,1,0.0
120206,1,0,1,0.0
120213,1,1,0,100.0
120304,1,1,0,100.0
120403,1,1,0,100.0
120431,1,1,0,100.0
120504,1,1,0,100.0
120604,1,0,1,0.0
120606,1,1,0,100.0
120704,1,1,0,100.0
120706,1,0,2,0.0
130108,1,0,1,0.0
130204,1,0,1,0.0
130302,1,0,1,0.0
130305,1,0,1,0.0
130401,1,0,1,0.0
130503,1,0,1,0.0
130602,1,0,1,0.0
130604,1,0,2,0.0
130605,1,0,1,0.0
130608,1,0,1,0.0
130611,1,0,1,0.0
130613,1,0,1,0.0
130614,1,0,1,0.0
130803,1,0,1,0.0
130808,1,0,2,0.0
130809,1,0,1,0.0
130904,1,0,1,0.0
130907,1,0,1,0.0
131002,1,0,1,0.0
131003,1,0,1,0.0
131006,1,0,2,0.0
131102,1,0,1,0.0
131103,1,0,1,0.0
131104,1,0,1,0.0
131201,1,0,1,0.0
131202,1,0,1,0.0
131203,1,0,1,0.0
140107,1,1,0,100.0
140109,1,1,0,100.0
140110,1,1,0,100.0
140115,1,2,0,100.0
140119,1,1,0,100.0
140202,1,1,0,100.0
140203,1,2,0,100.0
140205,1,1,0,100.0
140303,1,1,0,100.0
140306,1,3,0,100.0
140309,1,1,0,100.0
140310,1,2,0,100.0
140311,1,1,0,100.0
150303,1,1,0,100.0
150407,1,2,0,100.0
150501,1,1,0,100.0
150503,1,1,0,100.0
150509,1,1,0,100.0
150510,1,1,0,100.0
150511,1,1,0,100.0
150516,1,1,0,100.0
150604,1,1,0,100.0
150605,1,1,0,100.0
150709,1,1,0,100.0
150718,1,1,0,100.0
150721,1,1,0,100.0
150727,1,1,0,100.0
150732,1,1,0,100.0
150802,1,1,0,100.0
150811,1,1,0,100.0
151008,1,1,0,100.0
151015,1,1,0,100.0
160104,1,1,0,100.0
160105,1,1,0,100.0
160106,1,1,0,100.0
160107,1,0,1,0.0
160110,1,0,1,0.0
160401,1,2,0,100.0
160402,1,1,0,100.0
160404,1,1,0,100.0
160801,1,0,3,0.0
160802,1,0,2,0.0
160803,1,0,1,0.0
160804,1,0,3,0.0
180101,1,1,0,100.0
180102,1,1,0,100.0
180105,1,1,0,100.0
180202,1,1,0,100.0
180204,1,1,0,100.0
180208,1,1,0,100.0
180209,1,1,0,100.0
180210,1,1,0,100.0
180302,1,1,0,100.0
190102,1,0,1,0.0
190104,1,0,1,0.0
190107,1,0,1,0.0
190110,1,0,1,0.0
190113,1,0,2,0.0
190202,1,0,1,0.0
190203,1,0,1,0.0
190204,1,0,1,0.0
190206,1,0,1,0.0
190303,1,0,1,0.0
190304,1,0,1,0.0
190305,1,0,1,0.0
190306,1,0,1,0.0
190308,1,0,1,0.0
200111,1,0,1,0.0
200201,1,0,1,0.0
200203,1,0,2,0.0
200204,1,0,2,0.0
200205,1,0,1,0.0
200206,1,0,1,0.0
200207,1,0,1,0.0
200209,1,0,1,0.0
200210,1,0,3,0.0
200303,1,0,1,0.0
200401,1,0,2,0.0
200408,1,0,2,0.0
200506,1,0,1,0.0
200604,1,0,6,0.0
200606,1,0,1,0.0
200804,1,0,1,0.0
210101,1,0,2,0.0
210102,1,1,0,100.0
210105,1,1,0,100.0
210106,1,1,0,100.0
210108,1,1,0,100.0
210109,1,1,0,100.0
210111,1,1,0,100.0
210114,1,1,0,100.0
210203,1,1,0,100.0
210204,1,1,0,100.0
210207,1,1,0,100.0
210211,1,1,0,100.0
210306,1,0,1,0.0
210403,1,1,0,100.0
210407,1,0,1,0.0
210503,1,0,1,0.0
210504,1,2,0,100.0
210605,1,1,0,100.0
210606,1,1,0,100.0
210607,1,1,0,100.0
210608,1,0,1,0.0
210708,1,1,0,100.0
210709,1,1,0,100.0
210802,1,1,0,100.0
210806,1,1,0,100.0
210807,1,1,0,100.0
210808,1,1,0,100.0
210902,1,1,0,100.0
211002,1,0,2,0.0
211103,1,1,0,100.0
211203,1,0,1,0.0
211206,1,0,1,0.0
211207,1,0,1,0.0
211301,1,0,2,0.0
220203,1,0,1,0.0
220205,1,0,1,0.0
220303,1,0,1,0.0
220405,1,0,2,0.0
220504,1,0,2,0.0
220602,1,0,1,0.0
220805,1,0,2,0.0
220904,1,0,1,0.0
220906,1,0,1,0.0
220913,1,0,1,0.0
220914,1,0,1,0.0
221002,1,0,1,0.0
221003,1,0,1,0.0
221005,1,0,1,0.0
230105,1,1,0,100.0
230106,1,1,0,100.0
230109,1,1,0,100.0
230301,1,2,0,100.0
230302,1,0,1,0.0
230303,1,1,0,100.0
230404,1,0,1,0.0
230405,1,1,0,100.0
230406,1,1,0,100.0
230408,1,0,1,0.0
240104,1,0,1,0.0
240106,1,0,1,0.0
240201,1,0,1,0.0
240202,1,0,1,0.0
240304,1,0,1,0.0
